Unnamed: 0,size,center_x,center_y,min_dist
Cell_630,245.0,601.5,664.0,1685.4433393027487
Cell_631,198.0,604.0,268.5,1830.452471385149
Cell_632,237.0,606.0,213.5,1854.719453178836
Cell_633,244.0,608.0,308.5,1808.7620766701186
Cell_634,149.0,604.0,564.5,1714.1260892944836
Cell_635,211.0,604.5,679.5,1678.0639141582183
Cell_636,290.0,607.5,347.5,1792.2082747270194
Cell_637,193.0,607.0,400.5,1770.6770597712052
Cell_638,208.0,607.5,733.0,1660.6035800274549
Cell_639,372.0,615.0,20.0,1948.4398887314949
Cell_640,106.0,607.5,651.0,1683.60335293085
Cell_641,181.0,607.5,751.0,1656.0556301042548
Cell_642,293.0,609.5,543.5,1715.7716922714396
Cell_643,187.0,609.5,639.5,1685.2206087037982
Cell_644,224.0,611.5,824.5,1635.4915163338512
Cell_645,136.0,611.0,280.5,1818.7207729610393
Cell_646,143.0,608.5,437.0,1754.9234313781328
Cell_647,258.0,613.5,570.5,1703.2077090008722
Cell_648,148.0,611.0,8.0,1958.49789379514
Cell_649,93.0,611.5,80.0,1918.3746375512787
Cell_650,195.0,611.5,153.5,1879.8171453628142
Cell_651,91.0,610.5,582.5,1702.2739203782687
Cell_652,202.0,611.0,605.5,1694.6330723787967
Cell_653,279.0,614.0,765.5,1646.215128711919
Cell_654,198.0,614.5,388.0,1768.9000113064617
Cell_655,112.0,611.0,416.0,1760.8231029833746
Cell_656,241.0,613.5,475.5,1735.8042804417785
Cell_657,476.0,621.0,718.0,1651.5235390390292
Cell_658,424.0,623.0,491.0,1721.3102567521057
Cell_659,356.0,629.0,62.0,1913.47903045735
Cell_660,186.0,623.5,215.0,1838.7017838681725
Cell_661,274.0,623.0,522.0,1710.3525952270777
Cell_662,154.0,622.0,423.0,1747.9519444195255
Cell_663,302.0,625.5,447.0,1735.3853318499612
Cell_664,189.0,623.5,850.0,1618.6578545202194
Cell_665,361.0,626.0,104.0,1893.2736199503759
Cell_666,290.0,625.0,174.5,1857.5228800744285
Cell_667,222.0,626.5,49.5,1922.455331080543
Cell_668,262.0,627.5,350.5,1772.8526447508264
Cell_669,68.0,627.0,373.0,1763.7462969486287
Cell_670,75.0,629.0,5.0,1945.3701447282467
Cell_671,184.0,631.0,647.0,1662.4551121759648
Cell_672,140.0,633.5,255.0,1810.6888882411579
Cell_673,343.0,636.5,401.0,1743.506882693613
Cell_674,143.0,637.0,139.0,1865.464285372411
Cell_675,281.0,638.5,241.0,1812.9793848800377
Cell_676,165.0,635.0,363.5,1760.5110763639063
Cell_677,209.0,635.5,542.5,1691.6047115091635
Cell_678,213.0,636.5,628.0,1663.2165373155715
Cell_679,189.0,635.5,308.0,1784.399408764753
Cell_680,215.0,640.5,88.0,1889.6510921331483
Cell_681,177.0,639.0,271.0,1798.300586665088
Cell_682,319.0,642.5,846.0,1600.7983164658813
Cell_683,440.0,649.0,897.0,1585.1387951848255
Cell_684,270.0,640.5,10.5,1932.7862013166382
Cell_685,313.0,639.5,117.5,1874.660635955212
Cell_686,155.0,642.0,146.5,1857.2878748325472
Cell_687,206.0,641.0,176.5,1842.715726855339
Cell_688,190.0,642.0,226.5,1816.942005128397
Cell_689,248.0,643.0,800.5,1609.8823714793575
Cell_690,247.0,646.5,642.0,1649.2881040012385
Cell_691,203.0,642.5,707.5,1633.7051447553197
Cell_692,127.0,643.5,880.5,1593.383977577282
Cell_693,267.0,648.0,364.0,1748.5425359424346
Cell_694,92.0,645.5,348.0,1757.7062467886947
Cell_695,255.0,649.5,158.5,1844.6496957417146
Cell_696,158.0,651.5,461.0,1706.0059349251983
Cell_697,225.0,654.0,754.0,1610.2835154096313
Cell_698,174.0,652.5,193.5,1824.1931092951754
Cell_699,354.0,658.5,218.5,1806.5050511969237
Cell_700,171.0,653.5,471.0,1700.3570948480206
Cell_701,242.0,656.5,984.5,1565.4815553049484
Cell_702,167.0,654.5,517.0,1682.5927166132628
